symbol	name	mf	oclID	oclCoordinates
Ph	Phenyl	C6H5		
Phe	Phenylalanine diradical	C9H9NO		
Phepcl	4-Chlorophenylalanine diradical	C9H8ClNO		
Phg	Phenylglycine	C8H7NO	dcNHPBPOEgEInVuWYj`@Hr@@	!BJBvny|c|rLuN@Dc|jwrHDy@SdBH@
Pmc	2,2,5,7,8-Pentamethylchroman-6-sulphonyl	C14H19O3S		
Pro	Proline diradical	C5H7NO		
Pyr	Pyroglutamine	C5H5NO2	d@	
Sar	Sarcosine diradical	C3H5NO		
Ser	Serine diradical	C3H5NO2	dazDPBS`|V\TfyYjjL`@	!BJBvny|a|rLuN@Dc|jwp
Serp	Serine triradical	C3H4NO2	diFDpB`PBV\^|TeYZjjXq@@	!B`OR`gUy`LwW[PBtUprngp
Sta	Statine diradical	C8H15NO2		
Stap	Statine triradical	C8H14NO2		
Tacm	Trimethylacetamidomethyl	C6H12NO		
Tbdms	t-Butyldimethylsilyl	C6H15Si		
Tbu	t-Butyl	C4H9		
Tbuo	t-Butoxy	C4H9O		
Tbuthio	t-Butylthio	C4H9S		
Tfa	Trifluoroacetyl	C2F3O		
Thr	Threonine diradical	C4H7NO2		
Thrp	Threonine triradical	C4H6NO2		
Tfsi	(Bis)(trifluoromethanesulfonyl)imide	C2F6NO4S2		
Tips	Triisopropylsilyl	C9H21Si		
Tms	Trimethylsilyl	C3H9Si		
Tos	Tosyl	C7H7O2S		
Trp	Tryptophan diradical	C11H10N2O		
Trpp	Tryptophan triradical	C11H9N2O		
Trt	Trityl	C19H15	fbm@B@@KJSSLrjkyhnRGMT@@@@@@@@	!Bvzun@Hamvvw[_Ha|bGqnMvxwvwqn@Fx@bFvH[]mmvvvH_Fxwvwp
Tyr	Tyrosine diradical	C9H9NO2	d@	
Tyrp	Tyrosine triradical	C9H8NO2		
Val	Valine	C5H9NO		
Valoh	beta-Hydroxyvaline diradical	C5H9NO2		
Valohp	beta-Hydroxyvaline triradical	C5H8NO2		
Xan	Xanthyl	C13H9O		
Z	Benzyloxycarbonyl	C8H7O2		
				
Damp	Desoxyadenosine monophosphate diradical	C10H12N5O5P	fnsiS@IASUlJB]xGbkplxyDhhldhiEEUeSdTekUUUULBATXPlKd@@	!BneB]^HipIvzsgGBJvW@XSRx@f@Ks[K`|fJu^TEyWY{DJ|Ifp_RS}I@kpBo@
Dcmp	Desoxycytidine monophosphate diradical	C9H12N3O6P	fjmps@IQKB`g^BCqUxV\\bTTVRTTbb^iqNZjjjifVkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@f@I[N`RfJu^TEyWapvntJ{PzAJnt@
Dgmp	Desoxyguanosine monophosphate diradical	C10H12N5O6P	fakhs@IASUlJB]{hOEWaYqrIQQYIQRJJkQTyEIZuUUUSRtsUaBpnP@	!BneB]^HipIvzsgGBJvW@XSRx@fOss[K`|fJu^TEyWY{DJ|Ifp_RQ}I@kpMsDJ|@
Dtmp	Desoxythymidine monophosphate diradical	C10H13N2O7P	ff}Qs@IQaPSoAjCqUxV\\bTTVRTTbbZUNIsUUUULsSVDKBy@@	!BneB]^HipIvzsgGBJvW@XSRx@fOq[N`RfJu^TEyWapvntJ{PzAKhDj{P
Dump	Desoxyuridine monophosphate diradical	C9H11N2O7P	fjmQs@IQaPSoAJCqUxV\\bTTVRTTbb^iqNZjjjifYkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@f@I[N`RfJu^TEyWapvntJ{PzAJnt@
Drmp	Desoxyribose monophosphate diradical	C5H7O5P		
				
Dadp	Desoxyadenosine diphosphate diradical	C10H13N5O8P2	fmwhH`IASM\JBl{wQ`|U^F_AkbdlsjsSOoRtyEMYuUUUM@pSEQaBpnP@	!BneB]^HipIvzsgGBJvW@XSRx@f@Ks[K`|WeBXkUyWY{DJ|Ifpf@K}IOtdfJu^TEyWBo@J|@
Dcdp	Desoxycytidine diphosphate diradical	C9H13N3O9P2	fikqH`IQGB`kN|EoP^JoCOaUqrIQQYIQRJKGRJgDejjjjZYfZkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@fOq[N`RWeBXkUyWapvntJ{Pf@KhDibmWeA^Uz{P
Dgdp	Desoxyguanosine diphosphate diradical	C10H13N5O9P2	fcoiH`IASM\JBl{wQ{Axj|L~CWEIYgUff_^fZ\bflzjjjfiZifZlHVEr@@	!BneB]^HipIvzsgGBJvW@XSRx@fOss[K`|WeBXkUyWY{DJ|IfpfOs}IOtdfJu^TEyWBo@wLPkp
Dtdp	Desoxythymidine diphosphate diradical	C10H14N2O10P2	fe{Ph`IQaPUg^Ct\p^JoCO`uqrIQQYIQRJKEJQTxdmUUUSSMTsVDKBy@@	!BneB]^HipIvzsgGBJvW@XSRx@f@I[N`RWeBXkUyWapvntJ{Pf@KhDn`RfJu^TEyWkm@
Dudp	Desoxyuridine diphosphate diradical	C9H12N2O10P2	fikPh`IQaPUg^Bwhp^JoCOaUqrIQQYIQRJKGRJgDejjjjZYjYkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@fOq[N`RWeBXkUyWapvntJ{Pf@KhDibmWeA^Uz{P
				
Datp	Desoxyadenosine triphosphate diradical	C10H14N5O11P3	eohZMJ@I@diehJAKGOFnakg`OESpr|Mo@yqrIQQYIQRJKYZQKVRcbIJjZjjjihFAhjZcAAXKb@@	!BneB]^HipIvzsgGBJvW@XSRx@f@Ks[K`|WeBXkUyWY{DJ|IfpfOs}IOtdWeBXkUyWBo@J|I`BfJu^TEyW
Dctp	Desoxycytidine triphosphate diradical	C9H14N3O12P3	fkopZ`IQGB`kN|Fk^{NCqUxY|I~BwGHeEEdeEHhl]HlYJ\RVjjjiifVjfkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@f@I[_N`RWeBXkUyWapvntJ{Pf@KhDeyPfJu^Uz{Pf@JXkUyPWe\
Dgtp	Desoxyguanosine triphosphate diradical	C10H14N5O12P3	e`TZCJ@I@diehJAKGOFnamgo`OESpr|CoByqrIQQYIQRJKYZQQYrT\QIUSUUUUMRuMLtuVBBpWD@@	!BneB]^HipIvzsgGBJvW@XSRx@fOss[K`|WeBXkUyWY{DJ|IfpfOq}IGtdWeBXkUyWBo@wLPkpfOrXkUyPWe\
